Asset type;Resource provider namespace/Entity;Abbreviation;Transformer;Validator1;Validator2;Validator3;Validator4
Virtual network gateway;Microsoft.Network/virtualNetworkGateways;vgw;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Virtual network peering;Microsoft.Network/virtualNetworks/virtualNetworkPeerings;peer;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Virtual network subnet;Microsoft.Network/virtualNetworks/subnets;snet;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Virtual WAN;Microsoft.Network/virtualWans;vwan;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
VM storage account;Microsoft.Storage/storageAccounts;stvm;alphanumerics;;;24characterLimit;atLeast3Characters
VPN connection;Microsoft.Network/vpnGateways/vpnConnections;vcn;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
VPN Gateway;Microsoft.Network/vpnGateways;vpng;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
VPN site;Microsoft.Network/vpnGateways/vpnSites;vst;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Web app;Microsoft.Web/sites;app;alphanumericsHyphens;;;60characterLimit;atLeast2Characters
Web Application Firewall (WAF) policy;Microsoft.Network/firewallPolicies;waf;alphanumerics;startWithLetter;;128characterLimit;
Web Application Firewall (WAF) policy rule group;Microsoft.Network/firewallPolicies/ruleGroups;wafrg;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
